Customer ID,Internal Obligor ID,Loan Amount,Outstanding Balance,Interest Rate,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Loan to Value Ratio,Debt Service Coverage Ratio,Interest Coverage Ratio,Loan Default Probability,Anomaly_ISO
aa182bee-aa14-477e-be0e-9d1c0fd78741,f05b48d8-dbe1-40fe-93f7-927b760a1f11,26629895.3,70799498.07,4.53,50399385.08,95469736.56,59033485.2,7797067.51,238515115.99,34200502.62,23820711.26,0.99,1.75,5.48,0.01,1
2943f6e7-5d27-42e8-88ac-2c9e4776e329,4c78e161-7f3e-4858-8569-63ded30ecb0f,55748379.42,2783436.06,9.76,435705344.15,47117668.95,80132376.18,7141931.68,319616292.95,156044133.21,21245173.43,1.37,2.0,3.1,0.1,1
2923f9cb-7fbf-401a-aa36-3f2c2ca5364f,d4cf2ac2-82e7-4ebc-b4be-efeecd8605fe,19714396.46,39263759.32,2.9,92416015.06,213720317.55,59098537.91,6667902.48,22780570.2,100793798.84,10891482.19,1.36,2.9,9.06,0.2,1
b48b535c-9d7e-4a45-a794-838074cac80f,ba43160f-9404-4e4d-b32a-855e8dfcc560,17232454.13,86223792.99,8.9,133472482.22,294279690.55,70419654.54,4335752.01,391850032.42,123734826.91,8270642.73,0.83,2.52,3.86,0.28,1
9326117d-4b76-4a29-b0d5-82fbe6b42688,6185f8a7-1161-4807-81be-01d3e12de6e9,15850912.22,76069643.35,10.18,395983982.96,62424518.88,80765395.66,38633214.12,357587093.01,40729410.51,10211446.33,0.73,2.86,9.37,0.17,1
4ba2a5ff-856a-478c-af7c-b5584cfee953,3ce9f12c-8d8e-476f-a81a-23db1c0b5213,36787659.22,73539555.18,5.12,66196202.67,355967892.95,99485689.37,12237839.84,337813878.55,78824972.5,13252269.4,1.03,1.22,6.08,0.17,1
b2d9695b-0934-406d-a1eb-c51d642523d4,dbb5bf9c-975c-4cf1-b493-cec80aa8c9dd,98519519.33,83846458.68,6.55,58823388.81,267077344.86,30948149.11,1559826.73,309303560.0,41207930.04,20248808.13,1.08,1.43,3.24,0.26,1
c289ddfe-37b0-410b-afb4-baaa58e08236,52a7b687-d225-4232-ae5a-eaaf8b8bad60,42032473.96,29561853.99,1.8,96668915.05,111763464.72,60854764.52,39425051.06,98905179.06,130101544.23,26070243.6,0.73,2.94,9.56,0.05,1
d9f82cb1-cb26-46c9-9a31-7875f75ffaaf,506db0c0-2dd2-4be7-830d-6fe28eb42310,52123619.63,9059732.43,14.5,99932314.88,197384284.93,88395987.16,5260089.67,79766751.74,14664603.47,12203249.8,1.23,1.38,6.11,0.03,1
50b33fce-30f7-47a8-b3d2-12c39ab7ff1c,43afd455-5bec-4ba2-977f-5677458707bb,82096473.86,83378103.18,13.53,198348339.23,284765521.38,71704332.27,1381292.81,131470163.08,96790520.21,12234012.19,0.89,2.88,8.49,0.18,1
b8640ba7-75c0-48ca-9876-9b58ac6f7235,0081be7b-df66-4a69-8ce8-a747fdc8a430,53847536.43,25255889.98,3.22,177709276.02,331093433.54,58787046.25,15052586.46,63204617.14,24353969.54,20559600.93,0.77,1.22,6.34,0.07,1
9d3fa733-4ff2-47dd-9fc0-05d44370c201,fa1239b6-2b29-41ba-817e-0e145f10262e,60981465.14,54628642.2,11.36,297192589.82,42870636.83,18868041.72,19796535.81,298993701.96,137332785.43,7815369.27,1.4,2.84,3.58,0.03,1
01999876-7330-430b-a459-67f8953d51e9,677791b8-cf16-4980-bb1d-9bbaa170360d,25102100.43,29227281.02,13.27,141634304.12,344287641.83,56209877.23,10011525.13,206116204.76,116395789.44,23439783.14,1.22,2.4,1.16,0.27,1
596027a0-8e37-47ec-a02d-9dd35e64dd27,b1d3f755-935a-4c38-9045-d495adb63538,72009105.76,28494608.35,11.71,141690364.73,116051930.73,73977337.93,4210508.57,450459063.15,124112433.64,1497518.09,1.1,2.22,4.51,0.25,1
3fe3a345-cac2-447d-8b69-2337869a45cb,88fd8f84-c3fd-491d-bbde-2de563304dde,58923766.19,13425902.87,5.54,190598251.49,89532897.07,83962651.95,5618370.85,431072752.27,140243059.07,19395932.03,1.41,1.89,5.66,0.04,1
1b207a3a-33d4-4149-a0fd-d4c9a64a41c1,2f1b3ba5-abce-4dc4-9019-1ff807630916,4461574.46,46607558.52,11.37,317878463.61,32813677.44,38567447.54,4659131.08,450490976.39,26150694.41,12394628.82,0.59,2.34,1.13,0.11,1
