Customer ID,Internal Obligor ID,Loan Amount,Outstanding Balance,Interest Rate,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Loan to Value Ratio,Debt Service Coverage Ratio,Interest Coverage Ratio,Loan Default Probability,Anomaly_ISO
85207400000000.0,d8eba8b3-4a74-472c-9c35-5e776788c5b1,97602997.48,80537734.2,2.14,403948022.4,8926425.41,86863480.34,1955854.73,451241665.5,160851816.4,7161645.8,0.8,2.38,1.06,0.08,-1
30871600000000.0,9e22b5a8-cda1-4125-b44a-417a3418a07c,9312784.9,29441513.13,2.92,112276922.3,301315598.5,29157403.01,618846.22,19353690.53,85606740.54,18253363.73,1.09,2.87,9.6,0.22,-1
84095100000000.0,e9e1f1df-6d88-4a63-b32d-ba599ef54239,20327881.62,83122882.06,13.71,88092856.95,396681275.1,2437585.72,28230128.9,498168825.1,186374471.3,24414594.21,0.69,2.66,3.56,0.1,-1
44800000000000.0,29c7434b-dcaa-434b-9ea9-5f0873d27666,4595331.86,20163383.87,1.57,494328210.5,360939648.6,48193684.49,35861149.31,219078233.0,106711866.1,3746710.44,1.4,2.65,3.45,0.16,-1
77093800000000.0,a9ebe86c-1cf7-443f-8a97-bd29f8f9ff73,42395233.13,23732534.15,1.85,410424807.9,81878218.0,12963236.81,6409950.63,29536049.71,64790573.63,29754468.49,1.03,2.8,9.93,0.26,-1
66842600000000.0,19bb8dbd-fb00-451e-9680-142d8024b9fa,4210619.94,1113337.56,12.73,162195007.4,251973716.1,41104576.69,42429231.41,86474210.8,132190927.1,1179108.74,0.6,2.49,9.81,0.15,-1
72530300000000.0,624d011d-4d16-45c0-ac60-ad1dc7665c5f,89285612.18,83411245.93,4.29,38655210.24,20624407.73,7129254.29,20697827.76,33002106.29,147852805.2,19439739.79,0.65,2.95,9.43,0.25,-1
92858600000000.0,4d551600-3285-448c-aa22-609538966461,94888795.05,3758015.62,9.98,228325926.1,336789396.6,82085432.61,1510562.71,36718454.93,59787979.78,3399954.7,1.5,1.26,7.56,0.08,-1
45014000000000.0,ab508fc7-0d31-40a0-aa08-e4914c1d6aec,91943366.6,76219378.25,10.96,18873609.0,376268514.0,58875867.67,7735576.32,382113560.1,64969822.34,21737255.2,1.33,1.14,9.66,0.25,-1
87711000000000.0,7305747d-99ef-4b50-8b36-c4da344eb725,1744452.32,46380860.18,4.84,195545508.1,208194789.3,6976731.87,49730680.13,43787577.97,195396841.7,24385669.37,1.4,1.36,1.03,0.11,-1
